unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,:@computed_region_7mpf_4k6g,bbl,vehicle_type,closed_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location
59694038,2023-12-10T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10470,4801 CARPENTER AVENUE,CARPENTER AVENUE,EAST 242 STREET,BX-WESTCHESTER CNTY BOUNDARY,ADDRESS,BRONX,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-10T12:00:00.000,12 BRONX,BRONX,1025262,269557,PHONE,Unspecified,BRONX,40.90644975417781,-73.85163266355892,"{'latitude': '40.90644975417781', 'longitude': '-73.85163266355892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11608,29,5,40,30,30,,,,,,,,,,,
59687787,2023-12-10T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,10009,638 EAST   12 STREET,EAST   12 STREET,AVENUE B,AVENUE C,ADDRESS,NEW YORK,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-10T12:00:00.000,03 MANHATTAN,MANHATTAN,990567,204262,PHONE,Unspecified,MANHATTAN,40.72732644299139,-73.97720870044012,"{'latitude': '40.72732644299139', 'longitude': '-73.97720870044012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729,70,4,50,5,5,1003940028,,,,,,,,,,
59694041,2023-12-10T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11429,107-33 219 STREET,219 STREET,107 AVENUE,DEAD END,ADDRESS,QUEENS VILLAGE,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-10T12:00:00.000,13 QUEENS,QUEENS,1057245,197939,PHONE,Unspecified,QUEENS,40.70967248078669,-73.73670843938139,"{'latitude': '40.70967248078669', 'longitude': '-73.73670843938139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24338,63,3,6,63,63,4111840018,,,,,,,,,,
59695124,2023-12-10T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11378,61-55 55 STREET,55 STREET,ANDREWS AVENUE,METROPOLITAN AVENUE,ADDRESS,MASPETH,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-10T12:00:00.000,05 QUEENS,QUEENS,1009690,199264,PHONE,Unspecified,QUEENS,40.71357381818123,-73.90823315992941,"{'latitude': '40.71357381818123', 'longitude': '-73.90823315992941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14788,54,3,34,62,62,4026450017,,,,,,,,,,
59687783,2023-12-10T12:00:00.000,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,Street,11436,146-04 116 AVENUE,116 AVENUE,146 STREET,147 STREET,ADDRESS,JAMAICA,Open,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2023-12-10T12:00:00.000,12 QUEENS,QUEENS,1041011,187776,PHONE,Unspecified,QUEENS,40.681896518960336,-73.7953495634983,"{'latitude': '40.681896518960336', 'longitude': '-73.7953495634983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24671,41,3,46,71,71,4120060002,,,,,,,,,,
59687744,2023-12-10T01:36:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:55:42.000,0 Unspecified,Unspecified,1025576,209488,MOBILE,Unspecified,Unspecified,40.74157622498898,-73.85086668738587,"{'latitude': '40.74157622498898', 'longitude': '-73.85086668738587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14510,66,3,21,68,68,,,,,,,,,,,
59695082,2023-12-10T01:36:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,2023-12-10T01:42:40.000,0 Unspecified,Unspecified,997452,149566,ONLINE,Unspecified,Unspecified,40.57719030487264,-73.95247516386438,"{'latitude': '40.57719030487264', 'longitude': '-73.95247516386438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13826,32,2,15,36,36,,,,,,,,,,,
59692915,2023-12-10T01:36:15.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,,,,,,,,In Progress,Your complaint has been received by the Police Department and additional information will be available later.,2023-12-10T01:53:46.000,0 Unspecified,Unspecified,974820,164129,MOBILE,Unspecified,Unspecified,40.61716761090347,-74.03396664112519,"{'latitude': '40.61716761090347', 'longitude': '-74.03396664112519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17216,10,2,44,41,41,,,,,,,,,,,
59694001,2023-12-10T01:36:12.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,In Progress,,,0 Unspecified,Unspecified,997870,203214,MOBILE,Unspecified,Unspecified,40.724441708120345,-73.95086210607259,"{'latitude': '40.724441708120345', 'longitude': '-73.95086210607259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18182,36,2,38,57,57,,,,,,,,,,,
59687647,2023-12-10T01:36:05.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,,,,,,,,In Progress,,2023-12-10T01:37:53.000,0 Unspecified,Unspecified,1019673,209729,ONLINE,Unspecified,Unspecified,40.742263323343536,-73.87216756675477,"{'latitude': '40.742263323343536', 'longitude': '-73.87216756675477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14784,66,3,5,68,68,,,,,,,,,,,
