tree_id,spc_common,health,zipcode,status,latitude,longitude
180683,red maple,Fair,11375,Alive,40.72309177,-73.84421522
200540,pin oak,Fair,11357,Alive,40.79411067,-73.81867946
204026,honeylocust,Good,11211,Alive,40.71758074,-73.9366077
204337,honeylocust,Good,11211,Alive,40.71353749,-73.93445616
189565,American linden,Good,11215,Alive,40.66677776,-73.97597938
190422,honeylocust,Good,10023,Alive,40.77004563,-73.98494997
190426,honeylocust,Good,10023,Alive,40.77020969,-73.98533807
208649,American linden,Good,10019,Alive,40.76272385,-73.98729652
209610,honeylocust,Good,10305,Alive,40.59657931,-74.07625483
192755,London planetree,Fair,11223,Alive,40.58635725,-73.96974394
203719,London planetree,Good,11105,Alive,40.78242823,-73.91117077
203726,London planetree,Poor,11105,Alive,40.78173511,-73.91201957
195202,London planetree,Fair,10308,Alive,40.55710259,-74.16267038
189465,London planetree,Good,11205,Alive,40.69473314,-73.96821054
192998,London planetree,Fair,11212,Alive,40.6643174,-73.92113023
189834,honeylocust,Good,11205,Alive,40.69331418,-73.96760066
204208,ginkgo,Fair,11214,Alive,40.59378755,-73.9915968
161339,honeylocust,Good,11226,Alive,40.64878769,-73.96452447
187311,honeylocust,Fair,11373,Alive,40.73764622,-73.86529992
208201,ginkgo,Good,11205,Alive,40.69149917,-73.97258754
193093,honeylocust,Good,11215,Alive,40.66123875,-73.98588944
193310,honeylocust,Good,10021,Alive,40.77217148,-73.96045571
199760,willow oak,Fair,10024,Alive,40.7820872,-73.98096428
204325,sycamore maple,Good,10306,Alive,40.56882124,-74.1385634
189700,willow oak,Good,11217,Alive,40.67483919,-73.97218377
205044,Amur maple,Good,11214,Alive,40.59493629,-73.98917143
192942,London planetree,Good,11415,Alive,40.70653352,-73.82499155
195265,London planetree,Good,11230,Alive,40.61190461,-73.97042748
201555,honeylocust,Good,10002,Alive,40.72180744,-73.98982976
208407,honeylocust,Good,11385,Alive,40.70804012,-73.91549691
189164,honeylocust,Good,11215,Alive,40.66882647,-73.98670282
184375,honeylocust,Good,10457,Alive,40.84794708,-73.89338226
187056,honeylocust,Good,10023,Alive,40.77039613,-73.9816267
187058,honeylocust,Good,10023,Alive,40.77022715,-73.98121826
178659,honeylocust,Good,10305,Alive,40.5881073,-74.08667827
190423,honeylocust,Good,10023,Alive,40.77008698,-73.98504779
190425,honeylocust,Good,10023,Alive,40.77018061,-73.98526929
204202,London planetree,Fair,10306,Alive,40.56882517,-74.13906215
201494,London planetree,Good,10306,Alive,40.57807406,-74.11474624
208346,London planetree,Good,10024,Alive,40.78258674,-73.97484011
181710,willow oak,Good,11235,Alive,40.5752053,-73.9524669
178382,London planetree,Fair,10009,Alive,40.7337165,-73.97705764
193690,London planetree,Good,11230,Alive,40.61366258,-73.97453014
196089,London planetree,Good,11415,Alive,40.70404652,-73.82768034
191988,willow oak,Good,10012,Alive,40.72663958,-73.99936836
203720,London planetree,Good,11105,Alive,40.78233983,-73.91127902
189339,London planetree,Good,11205,Alive,40.69528068,-73.96637972
208230,London planetree,Fair,10024,Alive,40.7821811,-73.97238977
204413,willow oak,Good,11214,Alive,40.59393169,-73.9938007
161193,willow oak,Good,10314,Alive,40.58584952,-74.14804001
196132,London planetree,Good,11204,Alive,40.61293798,-73.97671635
196223,London planetree,Fair,11415,Alive,40.71490997,-73.82720922
192888,London planetree,Fair,11229,Alive,40.61003477,-73.94863403
192890,London planetree,Good,11229,Alive,40.60991608,-73.94861133
197978,pin oak,Good,11365,Alive,40.74068684,-73.80826026
178601,pin oak,Fair,10312,Alive,40.53211313,-74.1561806
184317,pin oak,Good,10458,Alive,40.85677447,-73.89097861
184031,red maple,Good,10457,Alive,40.85091786,-73.90356058
200225,pin oak,Good,10024,Alive,40.78993607,-73.97721169
208974,red maple,Good,10306,Alive,40.56103243,-74.10653494
198146,red maple,Good,10312,Alive,40.53936939,-74.19255287
194505,,Unknown,11370,Dead,40.75902778,-73.88725059
198121,pin oak,Fair,10016,Alive,40.74503399,-73.98253015
195252,pin oak,Good,10011,Alive,40.73599985,-73.99985935
204355,hedge maple,Good,10306,Alive,40.56785426,-74.13823191
205759,pin oak,Good,11370,Alive,40.76686765,-73.89540541
201654,pin oak,Good,11231,Alive,40.68194327,-74.00410729
198514,pin oak,Good,10025,Alive,40.80230109,-73.9620798
203334,London planetree,Fair,11372,Alive,40.75088939,-73.88730078
200628,London planetree,Good,11357,Alive,40.793138,-73.81946649
186888,London planetree,Fair,10467,Alive,40.87343706,-73.88088627
196373,London planetree,Good,10002,Alive,40.71680539,-73.99157275
209441,American elm,Poor,10453,Alive,40.84637583,-73.91763219
206435,sycamore maple,Good,11235,Alive,40.59078486,-73.96280534
196080,London planetree,Good,11415,Alive,40.7049445,-73.82819499
203759,London planetree,Good,11105,Alive,40.78075207,-73.9120953
190359,London planetree,Fair,10021,Alive,40.77222448,-73.95894426
209909,American elm,Good,10457,Alive,40.84810623,-73.90688618
180295,American elm,Good,10023,Alive,40.77013009,-73.9829175
208373,London planetree,Good,10024,Alive,40.7816172,-73.97558535
196205,London planetree,Good,11204,Alive,40.61288064,-73.97682018
192086,London planetree,Good,11209,Alive,40.62140476,-74.03492843
203550,London planetree,Good,11375,Alive,40.71316969,-73.85444599
203718,London planetree,Good,11105,Alive,40.78254676,-73.91102561
208832,London planetree,Poor,11205,Alive,40.6922784,-73.96142265
193183,Amur maple,Good,11375,Alive,40.71703231,-73.83829722
203577,London planetree,Good,11375,Alive,40.71247961,-73.85501988
179477,London planetree,Poor,11215,Alive,40.6682313,-73.98073049
203386,London planetree,Good,11375,Alive,40.7126411,-73.85213797
189537,London planetree,Good,11215,Alive,40.6690395,-73.97325313
196130,London planetree,Good,11204,Alive,40.61324054,-73.9772179
200676,London planetree,Good,11230,Alive,40.62480756,-73.96044298
206326,London planetree,Good,11370,Alive,40.76679523,-73.89249205
204118,London planetree,Good,10306,Alive,40.56872513,-74.14007849
192653,London planetree,Good,11223,Alive,40.58802014,-73.96632142
203592,London planetree,Good,11375,Alive,40.71338389,-73.8544597
189338,London planetree,Good,11205,Alive,40.69520579,-73.96636478
208240,London planetree,Good,10024,Alive,40.78233867,-73.97276286
208247,American elm,Fair,10024,Alive,40.7825057,-73.97308773
204203,London planetree,Fair,10306,Alive,40.56873093,-74.13912874
203385,London planetree,Good,11375,Alive,40.71269661,-73.85210323
196372,London planetree,Good,10002,Alive,40.71688341,-73.99153287
192889,London planetree,Good,11229,Alive,40.60998452,-73.94862442
203760,London planetree,Good,11105,Alive,40.78081459,-73.91201937
203767,London planetree,Good,11105,Alive,40.78159709,-73.91106905
208458,London planetree,Good,11358,Alive,40.76762905,-73.79811408
209919,London planetree,Good,10027,Alive,40.80881155,-73.96331506
198296,London planetree,Good,11203,Alive,40.64649652,-73.92576589
204169,London planetree,Fair,10306,Alive,40.56736217,-74.13481836
208338,London planetree,Fair,10024,Alive,40.78283422,-73.97469909
196131,London planetree,Good,11204,Alive,40.61298057,-73.97678695
196374,London planetree,Good,10002,Alive,40.71669718,-73.99162805
208463,ash,Good,10019,Alive,40.76312607,-73.98935258
201661,London planetree,Good,11375,Alive,40.71498666,-73.85066148
203769,London planetree,Good,11105,Alive,40.78178061,-73.91084617
208456,London planetree,Good,11358,Alive,40.76760837,-73.7978701
209921,London planetree,Good,10027,Alive,40.80874458,-73.96340334
189840,Amur maple,Good,11355,Alive,40.74830311,-73.82657765
203887,willow oak,Good,10025,Alive,40.80572583,-73.96071917
200654,Amur maple,Fair,11355,Alive,40.75465185,-73.83342753
196440,American elm,Fair,10115,Alive,40.81114538,-73.96412322
204246,hedge maple,Good,10306,Alive,40.5671037,-74.13565414
193014,pin oak,Good,11212,Alive,40.66522204,-73.92220308
180707,pin oak,Fair,11210,Alive,40.62700131,-73.95649259
198230,red maple,Good,10312,Alive,40.5393701,-74.19216109
192814,pin oak,Good,10014,Alive,40.73998079,-74.00504966
179828,red maple,Good,10002,Alive,40.72180184,-73.99119881
196765,pin oak,Fair,11415,Alive,40.70649325,-73.82961562
178599,pin oak,Good,10312,Alive,40.53195766,-74.15632856
208229,pin oak,Good,10024,Alive,40.78220389,-73.97237311
189313,pin oak,Good,11374,Alive,40.72877985,-73.85600425
208876,pin oak,Good,11105,Alive,40.77399973,-73.91633969
189570,pin oak,Fair,11215,Alive,40.66701232,-73.97646441
170988,honeylocust,Good,11691,Alive,40.60866168,-73.767642
178783,honeylocust,Fair,11237,Alive,40.69775112,-73.90933909
175693,ginkgo,Good,10016,Alive,40.74829709,-73.98065645
190540,honeylocust,Good,10025,Alive,40.79238702,-73.97423449
140722,ginkgo,Good,11238,Alive,40.68767857,-73.96764605
161235,honeylocust,Fair,11691,Alive,40.59626688,-73.77234286
161242,honeylocust,Poor,11691,Alive,40.59683648,-73.77245394
186060,honeylocust,Good,10458,Alive,40.85791814,-73.89340631
180891,ginkgo,Good,11368,Alive,40.739991,-73.86526993
183381,honeylocust,Good,11413,Alive,40.66362636,-73.75365462
166440,ginkgo,Good,11374,Alive,40.72186915,-73.86525671
196492,pin oak,Good,11229,Alive,40.60430523,-73.93644715
134320,honeylocust,Good,11429,Alive,40.703218,-73.73473543
168348,honeylocust,Good,11238,Alive,40.67591256,-73.96350468
201658,pin oak,Good,11375,Alive,40.715253,-73.85049293
204165,hedge maple,Good,10306,Alive,40.56744833,-74.13410014
186817,pin oak,Good,11370,Alive,40.77079674,-73.89080443
198164,pin oak,Good,11355,Alive,40.75195241,-73.82895529
196627,pin oak,Fair,11415,Alive,40.71219318,-73.82549632
208395,pin oak,Good,10024,Alive,40.78080395,-73.97613836
191733,pin oak,Good,11415,Alive,40.71175384,-73.82794408
209913,pin oak,Good,10027,Alive,40.80907709,-73.96312072
194656,pin oak,Fair,10308,Alive,40.5602591,-74.16264761
192702,red maple,Good,11204,Alive,40.61799206,-73.99518627
191162,ginkgo,Good,11231,Alive,40.68162051,-74.00147075
191248,honeylocust,Poor,11226,Alive,40.65015942,-73.95571955
189708,honeylocust,Good,11217,Alive,40.67524604,-73.97323052
201682,honeylocust,Good,10470,Alive,40.90339978,-73.84936673
195151,American linden,Good,11369,Alive,40.764166,-73.87162804
173925,honeylocust,Good,11204,Alive,40.61891585,-73.99026972
178756,honeylocust,Good,10023,Alive,40.77688357,-73.97980287
163280,honeylocust,Good,10075,Alive,40.77277225,-73.9553271
190420,honeylocust,Good,10023,Alive,40.76996266,-73.98475372
190154,honeylocust,Good,11106,Alive,40.76206839,-73.92575935
191273,honeylocust,Fair,10010,Alive,40.73943979,-73.98436755
178435,ginkgo,Fair,11421,Alive,40.69062557,-73.86702522
180307,ginkgo,Good,11693,Alive,40.58401171,-73.81814429
179475,honeylocust,Fair,11215,Alive,40.66831143,-73.98089638
189401,honeylocust,Fair,11217,Alive,40.67498646,-73.9720122
176850,ginkgo,Fair,10003,Alive,40.73570804,-73.98261517
191197,ginkgo,Good,11415,Alive,40.71266167,-73.83049495
183942,honeylocust,Fair,10457,Alive,40.85392218,-73.9013742
178779,ginkgo,Poor,11218,Alive,40.64072805,-73.97579406
189593,ginkgo,Good,11215,Alive,40.67179945,-73.97521359
200590,ginkgo,Good,11365,Alive,40.73275126,-73.78793925
200604,honeylocust,Good,11355,Alive,40.75395021,-73.83485946
180266,honeylocust,Good,10023,Alive,40.77033272,-73.98369364
206337,American linden,Good,11201,Alive,40.68584614,-73.99547033
206338,American linden,Good,11201,Alive,40.68581011,-73.99536155
190393,honeylocust,Good,10021,Alive,40.76955939,-73.95993924
201558,honeylocust,Good,10002,Alive,40.72173136,-73.98958224
205787,ginkgo,Fair,10023,Alive,40.78010688,-73.98322688
205970,ginkgo,Good,11370,Alive,40.7681009,-73.89434096
179537,red maple,Fair,11358,Alive,40.76280482,-73.78633372
179476,pin oak,Good,11215,Alive,40.66826409,-73.98079837
