zipcode,city,county_name,rent_amount
77494,Katy,Fort Bend County,2055.7713554987213
77449,Katy,Harris County,1799.631139589362
77084,Houston,Harris County,1755.031490015361
79936,El Paso,El Paso County,1494.366096866097
11385,New York,Queens County,3079.585782773197
78660,Pflugerville,Travis County,2094.4354421013686
11208,New York,Kings County,2728.733333333333
90011,Los Angeles,Los Angeles County,2149.0
77433,Cypress,Harris County,1975.6725555146609
60629,Chicago,Cook County,1137.6851851851852
90650,Norwalk,Los Angeles County,2765.907936507936
37013,Nashville,Davidson County,1881.8026311379251
11236,New York,Kings County,2362.5
10467,New York,Bronx County,2423.8888888888887
11373,New York,Queens County,2292.9944444444445
11226,New York,Kings County,2762.4357130436942
11207,New York,Kings County,3169.692007797272
30044,Lawrenceville,Gwinnett County,2055.476495726496
90044,Los Angeles,Los Angeles County,2534.555555555555
92336,Fontana,San Bernardino County,3358.346560846561
94565,Pittsburg,Contra Costa County,2833.9058333333337
77573,League City,Galveston County,1906.1803571428568
92335,Fontana,San Bernardino County,2294.333333333333
90250,Hawthorne,Los Angeles County,1998.1637181188264
10025,New York,New York County,4032.900346534036
75052,Grand Prairie,Dallas County,1844.8006450234116
90805,Long Beach,Los Angeles County,2035.4761904761904
11214,New York,Kings County,2117.202380952381
60618,Chicago,Cook County,1822.938324493404
93307,Bakersfield,Kern County,1450.8333333333333
90280,South Gate,Los Angeles County,1878.1944444444443
11234,New York,Kings County,2341.388888888889
91342,Los Angeles,Los Angeles County,3258.333333333333
92683,Westminster,Orange County,3304.025396825397
10314,New York,Richmond County,2429.6666666666665
11220,New York,Kings County,2440.972222222222
60639,Chicago,Cook County,1505.4861111111113
78245,San Antonio,Bexar County,1467.7013786937705
11219,New York,Kings County,2469.1111111111118
92503,Riverside,Riverside County,2414.5653235653235
78521,Brownsville,Cameron County,1099.8333333333333
11206,New York,Kings County,3695.1798565499134
11221,New York,Kings County,3225.1976707521358
10456,New York,Bronx County,2494.9444444444443
92345,Hesperia,San Bernardino County,2117.09595959596
77479,Sugar Land,Fort Bend County,2243.651164549304
91911,Chula Vista,San Diego County,2794.820105820106
30043,Lawrenceville,Gwinnett County,2164.081115692154
11223,New York,Kings County,2413.266666666667
78542,Edinburg,Hidalgo County,1206.9444444444446
78613,Cedar Park,Williamson County,1877.40807334428
11230,New York,Kings County,2691.8880952380955
60647,Chicago,Cook County,1937.5513417932184
93033,Oxnard,Ventura County,2834.75
95076,Watsonville,Santa Cruz County,2982.777777777778
92154,San Diego,San Diego County,3005.7077138547725
77429,Cypress,Harris County,1704.0574074074073
10458,New York,Bronx County,1968.7083333333333
92376,Rialto,San Bernardino County,2861.85
60804,Cicero,Cook County,1149.1666666666667
11377,New York,Queens County,2445.726851851852
79938,El Paso,El Paso County,1677.6488095238094
92804,Anaheim,Orange County,2416.8492063492067
91710,Chino,San Bernardino County,2860.377777777778
93722,Fresno,Fresno County,2172.5
94112,San Francisco,San Francisco County,3181.833333333333
99301,Pasco,Franklin County,1858.5583333333332
11235,New York,Kings County,2468.319047619048
60632,Chicago,Cook County,1277.2222222222224
77584,Pearland,Brazoria County,1848.8980392156864
11229,New York,Kings County,2782.0740740740744
95823,Sacramento,Sacramento County,2199.6111111111118
78130,New Braunfels,Comal County,1745.750992063492
60617,Chicago,Cook County,1320.986531986532
22193,Woodbridge,Prince William County,2425.444444444445
11233,New York,Kings County,2904.129077420342
75217,Dallas,Dallas County,1777.861111111111
10453,New York,Bronx County,2086.027777777778
27587,Wake Forest,Wake County,1904.5616096866097
73099,Yukon,Canadian County,1567.294685990338
77379,Spring,Harris County,1547.7677777777778
96706,Ewa Beach,Honolulu County,3168.444678362573
11204,New York,Kings County,2049.1666666666665
37042,Clarksville,Montgomery County,1408.8039215686276
85142,Queen Creek,Maricopa County,2294.463109354413
30024,Suwanee,Gwinnett County,2195.504861111111
10468,New York,Bronx County,2150.0
79928,Horizon City,El Paso County,1803.4285714285716
95035,Milpitas,Santa Clara County,3293.036742925569
60608,Chicago,Cook County,1648.97355382138
11355,New York,Queens County,2138.690476190476
92509,Jurupa Valley,Riverside County,2620.190476190476
78666,San Marcos,Hays County,1632.1340643042531
11203,New York,Kings County,2623.780586080586
93257,Porterville,Tulare County,1170.2777777777778
93550,Palmdale,Los Angeles County,2479.333333333333
60625,Chicago,Cook County,1592.4050679669033
10457,New York,Bronx County,2252.0
66062,Olathe,Johnson County,1711.0
92592,Temecula,Riverside County,3173.6898225957048
60623,Chicago,Cook County,1391.8716931216932
95630,Folsom,Sacramento County,2456.7344827586207
10452,New York,Bronx County,2154.972222222222
28269,Charlotte,Mecklenburg County,1955.8486486486488
92880,Eastvale,Riverside County,2849.6666666666665
94544,Hayward,Alameda County,2490.9054487179487
90706,Bellflower,Los Angeles County,2211.25
78577,Pharr,Hidalgo County,1081.8769841269843
78641,Leander,Williamson County,2014.8876190476192
93535,Lancaster,Los Angeles County,2681.958333333333
77459,Missouri City,Fort Bend County,2116.794871794872
10469,New York,Bronx County,2429.1666666666665
10029,New York,New York County,2892.893587033122
92704,Santa Ana,Orange County,3143.0
93274,Tulare,Tulare County,1660.9722222222224
11218,New York,Kings County,2762.494230769231
75035,Frisco,Collin County,2613.956613756614
11212,New York,Kings County,2285.0
10462,New York,Bronx County,1999.8333333333333
91335,Los Angeles,Los Angeles County,3168.186147186147
27610,Raleigh,Wake County,1936.516203703704
60634,Chicago,Cook County,1701.7857142857144
30349,,Fulton County,2004.832512315271
94533,Fairfield,Solano County,2510.168742368742
28027,Concord,Cabarrus County,1790.6814814814811
34787,Winter Garden,Orange County,2617.898119122257
87121,Albuquerque,Bernalillo County,1754.3333333333333
76244,Fort Worth,Tarrant County,2197.8384681215234
77083,Houston,Harris County,1965.7156084656085
10002,New York,New York County,4073.571559290383
23464,Virginia Beach,Virginia Beach City,2036.6666666666667
76063,Mansfield,Tarrant County,1855.5949215344376
10466,New York,Bronx County,2833.3611111111118
11375,New York,Queens County,2789.8143958438072
98052,Redmond,King County,2439.9452685422
34953,Port Saint Lucie,Saint Lucie County,2639.785185185185
33024,Pembroke Pines,Broward County,2734.2364824717765
33411,,Palm Beach County,2576.376551226552
75002,Allen,Collin County,2515.437728937729
79912,El Paso,El Paso County,1784.013888888889
93536,Lancaster,Los Angeles County,2924.378306878307
91709,Chino Hills,San Bernardino County,3049.2647869674183
91910,Chula Vista,San Diego County,2570.3119047619043
98012,Bothell,Snohomish County,2535.1054097314604
94513,Brentwood,Contra Costa County,3205.198172198172
78572,Mission,Hidalgo County,1975.0
11691,New York,Queens County,2624.6666666666665
75211,Cockrell Hill,Dallas County,1729.0813492063492
85225,Chandler,Maricopa County,1883.2450968013463
30040,Cumming,Forsyth County,2388.277777777778
93727,Fresno,Fresno County,2070.661375661376
89108,Las Vegas,Clark County,1477.724183006536
91706,Baldwin Park,Los Angeles County,2123.75
90003,Los Angeles,Los Angeles County,2466.1111111111118
22191,Woodbridge,Prince William County,2160.4147615708275
92126,San Diego,San Diego County,3045.1983661499794
19120,Philadelphia,Philadelphia County,1364.1666666666667
30041,Cumming,Forsyth County,2468.976911976912
76028,Burleson,Johnson County,2005.280193236715
30052,Loganville,Walton County,2175.327380952381
80013,Aurora,Arapahoe County,2139.573626373626
11215,New York,Kings County,3627.726911618669
75228,Dallas,Dallas County,1832.941798941799
20002,Washington,District of Columbia,2515.4892873642875
63376,Saint Peters,Saint Charles County,1484.7063492063492
37211,Nashville,Davidson County,1527.4353748606466
60085,Waukegan,Lake County,1633.6666666666667
76179,Fort Worth,Tarrant County,2090.097488038278
77407,Richmond,Fort Bend County,1732.425873655914
60657,Chicago,Cook County,2037.157823994888
30047,Lilburn,Gwinnett County,2158.952380952381
33025,Miramar,Broward County,2520.914094432699
10463,New York,Bronx County,2739.29797979798
33311,Fort Lauderdale,Broward County,2236.234299516908
96797,Waipahu,Honolulu County,2425.0396825396824
83646,Meridian,Ada County,2161.533653846154
92553,Moreno Valley,Riverside County,2287.3777777777777
11209,New York,Kings County,2391.121741004094
84043,Lehi,Utah County,2284.83682983683
14850,Ithaca,Tompkins County,2004.783632019116
93306,Bakersfield,Kern County,1735.4583333333333
80015,Centennial,Arapahoe County,2688.168498168498
77095,Houston,Harris County,1590.5337789661316
93230,Hanford,Kings County,1773.6190476190477
30127,Powder Springs,Cobb County,2084.2457264957266
28277,Charlotte,Mecklenburg County,2048.9916333666333
77845,College Station,Brazos County,1647.9796725014114
89031,North Las Vegas,Clark County,2087.317337164751
20906,Silver Spring,Montgomery County,1977.3944444444444
46307,Crown Point,Lake County,1890.0
95747,Roseville,Placer County,2674.9454191033137
94536,Fremont,Alameda County,3261.984513084513
92563,Murrieta,Riverside County,2927.7262626262623
45011,Hamilton,Butler County,1648.3333333333333
97229,Portland,Washington County,2281.0032679738565
92105,San Diego,San Diego County,2178.4484126984125
60614,Chicago,Cook County,2381.965293578856
92021,El Cajon,San Diego County,2447.378205128205
91730,Rancho Cucamonga,San Bernardino County,2795.9330462681523
60620,Chicago,Cook County,1103.3368298368298
33023,Miramar,Broward County,2471.0840548340548
94110,San Francisco,San Francisco County,3833.9006620256623
85364,Yuma,Yuma County,1249.7512626262626
07055,Passaic,Passaic County,2176.875
77450,,Harris County,1917.0925925925924
11213,New York,Kings County,2755.3234211775875
47906,West Lafayette,Tippecanoe County,1827.760073260073
94509,Antioch,Contra Costa County,2646.038095238095
93065,Simi Valley,Ventura County,2977.5598290598296
95687,Vacaville,Solano County,2595.4230769230767
11201,New York,Kings County,4325.836255235622
92882,Corona,Riverside County,2504.0031746031746
07305,Jersey City,Hudson County,2148.150519978106
19124,Philadelphia,Philadelphia County,1185.2619047619048
94558,Napa,Napa County,3084.5148148148146
94538,Fremont,Alameda County,3010.17683982684
37075,Hendersonville,Sumner County,1731.4755760368664
91766,Pomona,Los Angeles County,2719.1388888888887
92805,Anaheim,Orange County,2777.844162826421
78254,San Antonio,Bexar County,1893.030303030303
60641,Chicago,Cook County,1574.2147435897434
33012,Hialeah,Miami-Dade County,2240.972222222222
33015,Country Club,Miami-Dade County,2442.445833333333
90631,La Habra,Orange County,2654.959595959596
80134,Parker,Douglas County,2344.022890192245
33186,The Crossings,Miami-Dade County,2834.141786283892
30281,Stockbridge,Henry County,1737.3666822502728
28078,Huntersville,Mecklenburg County,2026.4035866682043
60640,Chicago,Cook County,1672.1968546261617
32218,Jacksonville,Duval County,1791.1672161172162
85032,Phoenix,Maricopa County,1760.9887179487175
33647,Tampa,Hillsborough County,2111.612669683257
17603,Lancaster,Lancaster County,1364.9666666666667
11210,New York,Kings County,2719.7555555555555
02301,Brockton,Plymouth County,2082.5
87114,Albuquerque,Bernalillo County,1773.671568627451
90026,Los Angeles,Los Angeles County,2738.1284722222226
94587,Union City,Alameda County,2670.770833333333
32828,Orlando,Orange County,2229.405643738977
85326,Buckeye,Maricopa County,2012.0490196078435
92801,Anaheim,Orange County,2601.3809523809523
11372,New York,Queens County,2463.5793650793653
34711,Clermont,Lake County,2170.5518810394974
95624,Elk Grove,Sacramento County,2702.0
75067,Lewisville,Denton County,1788.2742424242424
91402,Los Angeles,Los Angeles County,2036.2444444444443
11432,New York,Queens County,2469.8166666666666
89115,Las Vegas,Clark County,1385.6209150326797
10027,New York,New York County,3196.516644944064
06902,Stamford,Fairfield County,3002.347222222222
77036,Houston,Harris County,1109.7619047619048
